지점,지점명,일시,SPI3
146,전주,06/11/2022,0.16
146,전주,07/11/2022,0.21
146,전주,08/11/2022,0.24
146,전주,09/11/2022,0.27
146,전주,10/11/2022,0.2
146,전주,11/11/2022,-0.34
146,전주,12/11/2022,-0.36
146,전주,14/11/2022,-0.24
146,전주,15/11/2022,-0.2
146,전주,16/11/2022,-1.1
146,전주,17/11/2022,-1.08
146,전주,18/11/2022,-1.03
146,전주,19/11/2022,-1.01
146,전주,20/11/2022,-1.24
146,전주,21/11/2022,-1.18
146,전주,22/11/2022,-1.12
146,전주,23/11/2022,-1.16
146,전주,24/11/2022,-1.16
146,전주,25/11/2022,-1.11
146,전주,26/11/2022,-1.11
146,전주,27/11/2022,-1.07
146,전주,28/11/2022,-0.6
146,전주,29/11/2022,-0.31
146,전주,30/11/2022,-0.32
146,전주,01/12/2022,-0.27
146,전주,02/12/2022,-0.16
146,전주,03/12/2022,-0.12
146,전주,04/12/2022,-0.15
146,전주,05/12/2022,-0.51
146,전주,06/12/2022,-0.9
146,전주,07/12/2022,-0.87
146,전주,08/12/2022,-0.88
146,전주,09/12/2022,-0.83
146,전주,10/12/2022,-0.81
146,전주,11/12/2022,-0.75
146,전주,12/12/2022,-0.68
146,전주,13/12/2022,-0.63
146,전주,14/12/2022,-0.57
146,전주,15/12/2022,-0.5
146,전주,16/12/2022,-0.46
146,전주,17/12/2022,-0.33
146,전주,18/12/2022,-0.3
146,전주,19/12/2022,-0.29
146,전주,20/12/2022,-0.25
146,전주,21/12/2022,-0.03
146,전주,22/12/2022,0.09
146,전주,23/12/2022,0.18
146,전주,24/12/2022,0.24
146,전주,25/12/2022,0.24
146,전주,26/12/2022,0.25
146,전주,27/12/2022,0.28
146,전주,28/12/2022,0.29
146,전주,29/12/2022,0.35
146,전주,30/12/2022,0.41
146,전주,31/12/2022,0.4
146,전주,01/01/2023,0
146,전주,02/01/2023,0.5
146,전주,03/01/2023,0.34
146,전주,04/01/2023,-0.07
146,전주,05/01/2023,-0.03
146,전주,06/01/2023,0.04
146,전주,07/01/2023,0.01
146,전주,08/01/2023,0.04
146,전주,09/01/2023,-0.15
146,전주,10/01/2023,-0.28
146,전주,11/01/2023,-0.24
146,전주,12/01/2023,-0.18
146,전주,13/01/2023,0.28
146,전주,14/01/2023,0.3
146,전주,15/01/2023,0.33
146,전주,16/01/2023,0.33
146,전주,17/01/2023,0.32
146,전주,18/01/2023,0.32
146,전주,19/01/2023,0.33
146,전주,20/01/2023,0.32
146,전주,21/01/2023,0.32
146,전주,22/01/2023,0.35
146,전주,23/01/2023,0.34
146,전주,24/01/2023,0.36
146,전주,25/01/2023,0.38
146,전주,26/01/2023,0.39
146,전주,27/01/2023,0.44
146,전주,28/01/2023,0.47
146,전주,29/01/2023,0.51
146,전주,30/01/2023,0.52
146,전주,31/01/2023,0.56
146,전주,01/02/2023,0.58
146,전주,02/02/2023,0.58
146,전주,03/02/2023,0.58
146,전주,04/02/2023,0.58
146,전주,05/02/2023,0.62
146,전주,06/02/2023,0.69
146,전주,07/02/2023,0.73
146,전주,08/02/2023,0.76
146,전주,09/02/2023,0.79
146,전주,10/02/2023,0.87
146,전주,11/02/2023,0.86
146,전주,12/02/2023,0.8
146,전주,13/02/2023,0.64
146,전주,14/02/2023,0.64
146,전주,15/02/2023,0.63
146,전주,16/02/2023,0.58
146,전주,17/02/2023,0.58
146,전주,18/02/2023,0.63
146,전주,19/02/2023,0.7
146,전주,20/02/2023,0.7
146,전주,21/02/2023,0.71
146,전주,22/02/2023,0.66
146,전주,23/02/2023,0.64
146,전주,24/02/2023,0.67
146,전주,25/02/2023,0.6
146,전주,26/02/2023,0.61
146,전주,27/02/2023,0.61
146,전주,28/02/2023,-0.53
146,전주,01/03/2023,-0.58
146,전주,02/03/2023,-0.56
146,전주,03/03/2023,-0.54
146,전주,04/03/2023,-0.52
146,전주,05/03/2023,-0.59
146,전주,06/03/2023,-0.61
146,전주,07/03/2023,-0.62
146,전주,08/03/2023,-0.61
146,전주,09/03/2023,-0.63
146,전주,10/03/2023,-0.63
